Fornecedor,Mês,Valor
FLUIDATA,2025-01,811.23
FLUIDATA,2025-02,811.23
FLUIDATA,2025-03,811.23
FLUIDATA,2025-04,811.23
FLUIDATA,2025-05,811.23
FLUIDATA,2025-06,811.23
FLUIDATA,2025-07,811.23
FLUIDATA,2025-08,811.23
FLUIDATA,2025-09,811.23
FLUIDATA,2025-10,811.23
FLUIDATA,2025-11,853.17
FLUIDATA,2025-12,853.17
VIVO,2025-01,5110.44
VIVO,2025-02,5005.81
VIVO,2025-03,4992.93
VIVO,2025-04,4969.16
VIVO,2025-05,5433.06
VIVO,2025-06,4702.43
VIVO,2025-07,4668.93
VIVO,2025-08,4660.79
VIVO,2025-09,4668.50
VIVO,2025-10,4670.74
VIVO,2025-11,4963.53
VIVO,2025-12,4849.71
TOTVS,2025-01,15227.72
TOTVS,2025-02,15619.14
TOTVS,2025-03,15619.14
TOTVS,2025-04,15619.14
TOTVS,2025-05,15639.52
TOTVS,2025-06,15620.21
TOTVS,2025-07,16045.11
TOTVS,2025-08,16045.11
TOTVS,2025-09,16045.11
TOTVS,2025-10,16045.11
TOTVS,2025-11,16088.73
TOTVS,2025-12,16088.73
DIGITAL LOCACOES,2025-01,547.36
DIGITAL LOCACOES,2025-02,708.34
DIGITAL LOCACOES,2025-03,629.31
DIGITAL LOCACOES,2025-04,752.29
DIGITAL LOCACOES,2025-05,696.30
DIGITAL LOCACOES,2025-06,721.87
DIGITAL LOCACOES,2025-07,804.48
DIGITAL LOCACOES,2025-08,744.09
DIGITAL LOCACOES,2025-09,740.02
DIGITAL LOCACOES,2025-10,779.29
DIGITAL LOCACOES,2025-11,745.14
DIGITAL LOCACOES,2025-12,771.71
NEOGRID,2025-01,483.12
NEOGRID,2025-02,1329.13
NEOGRID,2025-03,1421.82
NEOGRID,2025-04,1103.45
NEOGRID,2025-05,982.55
NEOGRID,2025-06,575.52
NEOGRID,2025-07,1083.27
NEOGRID,2025-08,1192.08
NEOGRID,2025-09,1341.19
NEOGRID,2025-10,1022.82
